GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
24600001,1610610035,Huskies,HUS,Toronto,0,25,,,,,,16,29.0,0.552,,,,0.0,,,,25.0,66,
24600001,1610612752,Knicks,NYK,New York,0,24,,,,,,20,26.0,0.769,,,,,,,,23.0,68,
24600003,1610610034,Bombers,BOM,St. Louis,0,20,59.0,0.339,,,,16,,,,,,,,,,21.0,56,
24600003,1610610031,Ironmen,PIT,Pittsburgh,0,16,72.0,0.222,,,,19,0.0,0.0,,,,0.0,,,,25.0,51,
24600004,1610610025,Stags,CHS,Chicago,0,21,,,,,,21,0.0,0.0,,,,0.0,,,,20.0,63,
24600004,1610612752,Knicks,NYK,New York,0,16,,,,,,15,,,,,,,,,,21.0,47,
24600002,1610610032,Steamrollers,PRO,Providence,0,21,,,,,,17,,,,,,,,,,,59,
24600002,1610612738,Celtics,BOS,Boston,0,21,,,,,,11,,,,,,,,,,,53,
24600005,1610610028,Falcons,DEF,Detroit,0,10,,,,,,13,,,,,,,,,,,33,
24600005,1610610036,Capitols,WAS,Washington,0,18,,,,,,14,,,,,,0.0,,,,,50,
24600006,1610610026,Rebels,CLR,Cleveland,0,24,,,,,,23,35.0,0.657,,,,,,,,23.0,71,
24600006,1610610035,Huskies,HUS,Toronto,0,21,,,,,,18,27.0,0.667,,,,0.0,,,,28.0,60,
24600007,1610610031,Ironmen,PIT,Pittsburgh,0,19,,,,,,18,0.0,0.0,,,,0.0,,,,,56,
24600007,1610610036,Capitols,WAS,Washington,0,22,,,,,,27,,,,,,0.0,,,,,71,
24600009,1610610028,Falcons,DEF,Detroit,0,18,,,,,,13,,,,,,,,,,,49,
24600009,1610610034,Bombers,BOM,St. Louis,0,20,,,,,,13,,,,,,,,,,,53,
24600008,1610612738,Celtics,BOS,Boston,0,23,,,,,,9,17.0,0.529,,,,,,,,,55,
24600008,1610610025,Stags,CHS,Chicago,0,24,,,,,,9,23.0,0.391,,,,0.0,,,,0.0,57,
24600010,1610612744,Warriors,PHW,Philadelphia,0,28,,,,,,25,39.0,0.641,,,,0.0,,,,24.0,81,
24600010,1610610031,Ironmen,PIT,Pittsburgh,0,29,,,,,,17,28.0,0.606,,,,0.0,,,,35.0,75,
24600011,1610610032,Steamrollers,PRO,Providence,0,31,,,,,,11,18.0,0.61,,,,,,,,20.0,73,
24600011,1610610025,Stags,CHS,Chicago,0,27,,,,,,11,24.0,0.458,,,,0.0,,,,14.0,65,
24600012,1610610034,Bombers,BOM,St. Louis,0,25,104.0,0.239,,,,13,20.0,0.65,,,,,,,,21.0,63,
24600012,1610612752,Knicks,NYK,New York,0,27,90.0,0.299,,,,16,23.0,0.695,,,,,,,,16.0,70,
24600013,1610610035,Huskies,HUS,Toronto,0,31,,,,,,11,26.0,0.422,,,,0.0,,,,21.0,73,
24600013,1610610028,Falcons,DEF,Detroit,0,28,,,,,,15,23.0,0.652,,,,,,,,15.0,71,
24600017,1610610028,Falcons,DEF,Detroit,0,26,,,,,,17,,,,,,,,,,,69,
24600017,1610612738,Celtics,BOS,Boston,0,15,,,,,,16,,,,,,,,,,,46,
24600015,1610610032,Steamrollers,PRO,Providence,0,22,0.0,0.0,,,,32,,,,,,0.0,,,,,76,
24600015,1610610031,Ironmen,PIT,Pittsburgh,0,25,,,,,,16,0.0,0.0,,,,0.0,,,,,66,
24600014,1610610034,Bombers,BOM,St. Louis,0,28,,,,,,14,,,,,,,,,,36.0,70,
24600014,1610610036,Capitols,WAS,Washington,0,19,,,,,,31,,,,,,,,,,26.0,69,
24600016,1610610025,Stags,CHS,Chicago,0,22,,,,,,18,28.0,0.643,,,,0.0,,,,22.0,62,
24600016,1610610035,Huskies,HUS,Toronto,0,17,,,,,,16,28.0,0.57,,,,0.0,,,,23.0,50,
24600018,1610610026,Rebels,CLR,Cleveland,0,42,,,,,,8,17.0,0.47,,,,,,,,,92,
24600018,1610610036,Capitols,WAS,Washington,0,24,,,,,,20,34.0,0.587,,,,,,,,,68,
24600019,1610610031,Ironmen,PIT,Pittsburgh,0,29,,,,,,26,35.0,0.742,,,,0.0,,,,32.0,84,
24600019,1610610032,Steamrollers,PRO,Providence,0,21,,,,,,29,42.0,0.689,,,,0.0,,,,28.0,71,
24600020,1610612752,Knicks,NYK,New York,0,28,,,,,,17,29.0,0.585,,,,,,,,26.0,73,
24600020,1610610025,Stags,CHS,Chicago,0,30,,,,,,18,30.0,0.599,,,,,,,,21.0,78,
24600021,1610610028,Falcons,DEF,Detroit,0,24,,,,,,20,,,,,,,,,,,68,
24600021,1610610032,Steamrollers,PRO,Providence,0,27,0.0,0.0,,,,16,,,,,,0.0,,,,,70,
24600022,1610610025,Stags,CHS,Chicago,0,29,,,,,,13,0.0,0.0,,,,0.0,,,,21.0,71,
24600022,1610612738,Celtics,BOS,Boston,0,22,,,,,,17,,,,,,,,,,15.0,61,
24600023,1610612744,Warriors,PHW,Philadelphia,0,26,,,,,,16,21.0,0.762,,,,0.0,,,,21.0,68,
24600023,1610610036,Capitols,WAS,Washington,0,25,,,,,,15,24.0,0.625,,,,0.0,,,,19.0,65,
