PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,PLAYER_ID,PLAYER_NAME
78050,Ed,Sadowski,Boston Celtics,All-NBA,1,1947-48,,,1610612738,Award,Kia Motors,KIANT,,78050,Ed Sadowski
77403,John,Logan,St. Louis Bombers,All-NBA,2,1946-47,,,1610610034,Award,Kia Motors,KIANT,,77403,Johnny Logan
77403,John,Logan,St. Louis Bombers,All-NBA,2,1947-48,,,1610610034,Award,Kia Motors,KIANT,,77403,Johnny Logan
77403,John,Logan,St. Louis Bombers,All-NBA,2,1948-49,,,1610610034,Award,Kia Motors,KIANT,,77403,Johnny Logan
76918,Chuck,Halbert,Chicago Stags,All-NBA,2,1946-47,,,1610610025,Award,Kia Motors,KIANT,,76918,Chuck Halbert
78638,Max,Zaslofsky,Chicago Stags,All-NBA,1,1946-47,,,1610610025,Award,Kia Motors,KIANT,,78638,Max Zaslofsky
78638,Max,Zaslofsky,Chicago Stags,All-NBA,1,1947-48,,,1610610025,Award,Kia Motors,KIANT,,78638,Max Zaslofsky
78638,Max,Zaslofsky,Chicago Stags,All-NBA,1,1948-49,,,1610610025,Award,Kia Motors,KIANT,,78638,Max Zaslofsky
78638,Max,Zaslofsky,Chicago Stags,All-NBA,1,1949-50,,,1610610025,Award,Kia Motors,KIANT,,78638,Max Zaslofsky
76335,Ernie,Calverley,Providence Steamrollers,All-NBA,2,1946-47,,,1610610032,Award,Kia Motors,KIANT,,76335,Ernie Calverley
77587,Stan,Miasek,Detroit Falcons,All-NBA,1,1946-47,,,1610610028,Award,Kia Motors,KIANT,,77587,Stan Miasek
77587,Stan,Miasek,Chicago Stags,All-NBA,2,1947-48,,,1610610025,Award,Kia Motors,KIANT,,77587,Stan Miasek
76698,Bob,Feerick,Washington Capitols,All-NBA,1,1946-47,,,1610610036,Award,Kia Motors,KIANT,,76698,Bob Feerick
76698,Bob,Feerick,Washington Capitols,All-NBA,1,1947-48,,,1610610036,Award,Kia Motors,KIANT,,76698,Bob Feerick
76698,Bob,Feerick,Washington Capitols,All-NBA,2,1948-49,,,1610610036,Award,Kia Motors,KIANT,,76698,Bob Feerick
78094,Fred,Scolari,Washington Capitols,All-NBA,2,1946-47,,,1610610036,Award,Kia Motors,KIANT,,78094,Freddie Scolari
78094,Fred,Scolari,Washington Capitols,All-NBA,2,1947-48,,,1610610036,Award,Kia Motors,KIANT,,78094,Freddie Scolari
